id;language;title;field_product_cp_type;field_product_cp_category;body;field_product_cp_brand;field_product_cp_brand_thumb;field_product_cp_package_picture;field_link;field_product_cp_loyality;field_product_cp_status;field_product_cp_auth_number;field_product_cp_composition;field_product_cp_active_group;field_product_cp_formulation;field_product_cp_mode_action;field_product_cp_mode_detail;field_product_cp_end_date_growers;field_product_cp_end_date_disrtibutors;field_product_cp_pack_size;field_product_cp_nanum_number;field_product_cp_a_number_design;field_product_cp_security_icon;field_product_cp_legal_warning;field_product_cp_re_entry_period;field_product_cp_hazard_statements;field_product_cp_precautionary_s;field_product_cp_personal_equip;field_product_cp_other_restric;field_product_cp_tank_mixing;field_product_cp_tank_prepar;field_product_cp_particular_term;field_product_cp_mix_and_spray;field_product_cp_water_volume;field_product_cp_pressure;field_product_cp_rainfastness;field_product_cp_frost_sensitiv;field_product_cp_humidity_sensit;field_product_cp_light_sensit;field_product_cp_tank_lifespan;field_product_cp_tank_stability;field_product_cp_carry_over;field_product_cp_minor_use;field_product_cp_stewardship;field_product_cp_emergency;field_product_cp_section_title;field_product_cp_section_desc;field_product_cp_leg_information;field_product_cp_manual_date_ove;field_product_cp_last_update_dat;field_product_cp_pdf_file;external_field_product_cp_pdf;field_product_cp_registrant;field_product_cp_shelf_life;field_product_cp_class_of_danger;field_product_cp_danger_bees;field_product_cp_addl_flx;metatag_title;metatag_description;metatag_keywords
13135;nl;Force (W2);Insecticide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/87ddc97f-2fca-4344-616d-ebe02255c688/1496753598200172007-SYNGENCP-7001_FORCE_20CS.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/87ddc97f-2fca-4344-616d-ebe02255c688/1496753603688205058-Force%20logo%20400x135.jpg;;;;;13135 N;"""200 G/L"",""tefluthrin""";;FS (Suspensie concentraat voor zaadbehandeling);;;;;;;;;GHS07, GHS09;;H332, EUH401, H317, H410;P302 + P352, SP 1, P312, P333 + P313, P102, P391, P280, P304 + P340;;;;;;;;;;;;;;;;;;;;;;1;01.01.2018;;"""Veiligheidsblad"",""329.05"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13135/W2/5c6d019e-f819-4b13-9bea-e8f96651735c.pdf""|""Gebruiksvoorschrift"",""74.2"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13135/W2/2272ddc4-7653-44f9-7e86-a6b2cce73528.pdf""";;;;;;;;
12537 W5;nl;Fubol Gold (W5);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/4d558647-4e5c-482b-7210-3bf856cac09a/1496753628204501836-SYNGENCP-7001_FUBOL-GOLD.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/4d558647-4e5c-482b-7210-3bf856cac09a/1496753632026600368-Fubol%20Gold%20logo%20400x135.jpg;;;;;12537 N;"""3,9 %"",""metalaxyl-M""|""64 %"",""mancozeb""";;WG (Water dispergeerbaar granulaat);;;01.07.2020;01.07.2019;;;;;GHS07, GHS08, GHS09;;EUH401, H361d, H410, H317;P102, P302 + P352, SP 1, P308 + P313, P280, P391, P201;;;;;;;;;;;;;;;;;;;;;;1;22.06.2012;;"""Gebruiksvoorschrift"",""131.9"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12537/W5/79a56a29-c9a7-4725-6475-884e21330b08.pdf""|""Veiligheidsblad"",""330.35"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12537/W6/f34447de-ac05-4f45-8d2c-1b4a2ce50d41.pdf""";;;;;;;;
12537;nl;Fubol Gold (W6);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/4d558647-4e5c-482b-7210-3bf856cac09a/1496753628204501836-SYNGENCP-7001_FUBOL-GOLD.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/4d558647-4e5c-482b-7210-3bf856cac09a/1496753632026600368-Fubol%20Gold%20logo%20400x135.jpg;;;;;12537 N;"""3,9 %"",""metalaxyl-M""|""64 %"",""mancozeb""";;WG (Water dispergeerbaar granulaat);;;;;;;;;GHS08, GHS07, GHS09;;H410, H317, EUH401, H361d;P201, P308 + P313, P391, P302 + P352, P280, P102, SP 1;;;;;;;;;;;;;;;;;;;;;;1;01.01.2019;;"""Gebruiksvoorschrift"",""79.6"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12537/W6/b6bc1ce8-7529-4fc8-5153-8952c1042ed6.pdf""|""Veiligheidsblad"",""330.35"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12537/W6/f34447de-ac05-4f45-8d2c-1b4a2ce50d41.pdf""";;;;;;;;
13145;nl;Gardo Gold (W2);Herbicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/f53fdd01-8e39-44d3-5989-592909520e25/1496753660280597673-SYNGENCP-7001_GARDO-GOLD.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/f53fdd01-8e39-44d3-5989-592909520e25/1496753668402124385-Gardo%20Gold%20logo%20400x135.jpg;;;;;13145 N;"""312,5 G/L"",""S-metolachloor""|""187,5 G/L"",""terbuthylazine""";;SC (Suspensie concentraat);;;01.01.1970;01.01.1970;;;;;GHS08, GHS09, GHS07;;H319, EUH401, H410, H373, H317;P260, P333 + P313, SP 1, P280, P314;;;;;;;;;;;;;;;;;;;;;;1;14.09.2018;;"""Gebruiksvoorschrift"",""46.2"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13145/W2/f5ef415d-e27c-4f7d-a919-108d4d0eb891.pdf""|""Veiligheidsblad"",""388.95"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13145/W2/9eab6735-daa7-4a4b-a7f6-d37dd09e6c63.pdf""";;;;;;;;
14414 W2;nl;Geoxe (W2);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/9c5f8ca3-d0c6-4cf7-6e53-f00efa1c938a/1496753677742647656-SYNGENCP-7001_GEOXE.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/9c5f8ca3-d0c6-4cf7-6e53-f00efa1c938a/1496753682201347779-Geoxe%20logo%20400x135.jpg;;;;;14414 N;"""500 G/KG"",""fludioxonil""";;WG (Water dispergeerbaar granulaat);;;;;;;;;GHS07, GHS09;;H317, H410, EUH401;P280C, P391, P102, P270, P302 + P352, P501, SP 1;;;;;;;;;;;;;;;;;;;;;;1;06.10.2017;;"""Veiligheidsblad"",""329.6"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14414/W3/e0535d93-5b06-4422-bfac-6db7c2aecce1.pdf""|""Gebruiksvoorschrift"",""24.65"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14414/W2/ce1dbea5-0ffd-4dcf-5c0a-c5605577b45c.pdf""";;;;;;;;
14414;nl;Geoxe (W3);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/9c5f8ca3-d0c6-4cf7-6e53-f00efa1c938a/1496753677742647656-SYNGENCP-7001_GEOXE.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/9c5f8ca3-d0c6-4cf7-6e53-f00efa1c938a/1496753682201347779-Geoxe%20logo%20400x135.jpg;;;;;14414 N;"""500 G/KG"",""fludioxonil""";;WG (Water dispergeerbaar granulaat);;;;;;;;;GHS09, GHS07;;H317, H410, EUH401;P280C, P501, P302 + P352, P102, P391, P270, SP 1;;;;;;;;;;;;;;;;;;;;;;1;09.03.2018;;"""Gebruiksvoorschrift"",""65.45"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14414/W3/ffef1a63-a61c-43ef-7ff3-0baa9034d9fd.pdf""|""Veiligheidsblad"",""329.6"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14414/W3/e0535d93-5b06-4422-bfac-6db7c2aecce1.pdf""";;;;;;;;
14882;nl;Inssimo (W1);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/13244187-585a-47cb-62ed-eb614bf73c04/1496753737491903857-SYNGENCP-7001_INSSIMO.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/13244187-585a-47cb-62ed-eb614bf73c04/1496753741473640706-Inssimo%20logo%20400x135.jpg;;;;;14882 N;"""48,5 %"",""acibenzolar-S-methyl""";;WG (Water dispergeerbaar granulaat);;;;;;;;;GHS08, GHS07, GHS09;;H317, H335, EUH401, H361d, H410, H315, H319;P501, P280, P302 + P352, P333 + P313, SP 1, P102, P305 + P351 + P338, P391;;;;;;;;;;;;;;;;;;;;;;1;28.02.2018;;"""Veiligheidsblad"",""361.7"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14882/W1/7282b42d-05d6-4a3e-bf49-ea1687e53e7f.pdf""|""Gebruiksvoorschrift"",""57"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14882/W1/a638ef01-da27-4bad-7d0e-52f14911bcc7.pdf""";;;;;;;;
12698 W1;nl;Karate Zeon (W1);Insecticide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/7df4eec3-4a45-4ab7-4e97-7f8ade3fb132/1496753752717806319-SYNGENCP-7001_KARATE-ZEON.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/7df4eec3-4a45-4ab7-4e97-7f8ade3fb132/1496753759099702723-Karate%20Zeon%20logo%20400x135.jpg;;;;;12698 N;"""100 G/L"",""lambda-cyhalothrin""";;CS (Capsule suspensie);;;01.07.2019;01.07.2018;;;;;GHS09, GHS07;;EUH401, H317, H302 + H332, H410;P261, P280, P102, P391, P270, P312, SP 1, P302 + P352, P301 + P312, P304 + P340;;;;;;;;;;;;;;;;;;;;;;1;24.08.2007;;"""Gebruiksvoorschrift"",""14.7"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12698/W1/eab2f4dc-dcc1-4da2-7d32-1a2fb7383b78.pdf""|""Veiligheidsblad"",""361.55"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12698/W1/5fd42db8-0729-4aba-97e2-f72b23577eb7.pdf""";;;;;;;;
12698;nl;Karate Zeon (W4);Insecticide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/7df4eec3-4a45-4ab7-4e97-7f8ade3fb132/1496753752717806319-SYNGENCP-7001_KARATE-ZEON.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/7df4eec3-4a45-4ab7-4e97-7f8ade3fb132/1496753759099702723-Karate%20Zeon%20logo%20400x135.jpg;;;;;12698 N;"""100 G/L"",""lambda-cyhalothrin""";;CS (Capsule suspensie);;;;;;;;;GHS07, GHS09;;H410, EUH401, H302 + H332, H317;P302 + P352, P312, SP 1, P301 + P312, P261, P102, P270, P391, P304 + P340, P280;;;;;;;;;;;;;;;;;;;;;;1;23.11.2018;;"""Veiligheidsblad"",""361.55"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12698/W1/5fd42db8-0729-4aba-97e2-f72b23577eb7.pdf""|""Gebruiksvoorschrift"",""84.45"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12698/W4/104f67d7-b77e-4a82-b3a1-65515a4ee31d.pdf""";;;;;;;;
14675;nl;MILAGRO 40;Herbicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/631140cb-0f43-44d8-74e3-244734dcb168/1496904711575806993-1120x110_milagro_wide_0.png;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/631140cb-0f43-44d8-74e3-244734dcb168/1496754370564244529-Milagro%20logo%20400x135.jpg;;;;;14675 N;"""40 G/L"",""nicosulfuron""";;OD (Olie dispersie);;;;;;;;;GHS07, GHS09;;H410, EUH401, H315;P501, P362, P391, P280, SP 1, P302 + P352, P332 + P313;;;;;;;;;;;;;;;;;;;;;;1;07.11.2014;;"""Veiligheidsblad"",""253.7"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14675/W0/f6fe9555-fbed-411f-aa67-4d556f5f44f1.pdf""|""Gebruiksvoorschrift"",""7.95"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14675/W0/2d6e91aa-22b6-4839-7206-6e88352b1533.pdf""";;;;;;;;
15651;nl;Mainspring;Insecticide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/110cc2c0-6a53-432b-43b8-b8e5390a0e79/1536138671619262734-1120x110_MAINSPRING.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/110cc2c0-6a53-432b-43b8-b8e5390a0e79/1536138634212269947-Mainspring%20logo%20400x135.jpg;;;;;15651 N;"""400 G/KG"",""Cyantraniliprole""";;WG (Water dispergeerbaar granulaat);;;;;;;;;GHS09;;H410, EUH401;P280C, P273, P501, P391, SP 1;;;;;;;;;;;;;;;;;;;;;;1;06.07.2018;;"""Veiligheidsblad"",""311.85"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/15651/W0/b6eff86e-a675-4a48-b0d6-d575e8d1cd27.pdf""|""Gebruiksvoorschrift"",""74.35"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/15651/W0/c1efab0d-68bf-41cf-6d7b-a671242f8f4e.pdf""";;;;;;;;
12821;nl;Match (W1);Insecticide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/fa4df21d-e928-4e79-6493-eca91d10c00b/1496754421121903624-SYNGENCP-7001_MATCH.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/fa4df21d-e928-4e79-6493-eca91d10c00b/1496754424724082288-Match%20logo%20400x135.jpg;;;;;12821 N;"""50 G/L"",""lufenuron""";;EC (Emulgeerbaar concentraat);;;30.06.2021;30.06.2020;;;;;GHS02, GHS09, GHS05, GHS08, GHS07;;H410, H317, H314, H226, EUH401, H304, H336;P303 + P361 + P353 + P310, P260, P210, P501, P280A, P301 + P330 + P331 + P310, P305 + P351 + P338 + P310, SP 1;;;;;;;;;;;;;;;;;;;;;;1;04.07.2014;;"""Gebruiksvoorschrift"",""10.85"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12821/W1/a79539dd-8b6a-487d-63c8-cb5b89239cdc.pdf""|""Veiligheidsblad"",""349.35"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12821/W1/423f581e-fd4b-4724-bce9-435c090c4415.pdf""";;;;;;;;
13275 W1;nl;Maxim 100 FS (W1);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/172c57bf-b269-4942-5717-a4b00f3b3e6d/1496754435613319662-SYNGENCP-7001_MAXIM-100-FS.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/172c57bf-b269-4942-5717-a4b00f3b3e6d/1496754440201148719-Maxim%20100%20FS%20logo%20400x135.jpg;;;;;13275 N;"""100 G/L"",""fludioxonil""";;FS (Suspensie concentraat voor zaadbehandeling);;;01.07.2020;01.07.2019;;;;;GHS09;;EUH401, H410;P280A, P391, SP 1, P273;;;;;;;;;;;;;;;;;;;;;;1;24.12.2010;;"""Gebruiksvoorschrift"",""7.7"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13275/W1/b1f2dd6a-9c5f-4315-4f81-9574b3193dd9.pdf""|""Veiligheidsblad"",""311"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13275/W1/78a0627e-2d84-411d-92d7-326f6b19e0ad.pdf""";;;;;;;;
13275;nl;Maxim 100 FS (W2);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/172c57bf-b269-4942-5717-a4b00f3b3e6d/1496754435613319662-SYNGENCP-7001_MAXIM-100-FS.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/172c57bf-b269-4942-5717-a4b00f3b3e6d/1496754440201148719-Maxim%20100%20FS%20logo%20400x135.jpg;;;;;13275 N;"""100 G/L"",""fludioxonil""";;FS (Suspensie concentraat voor zaadbehandeling);;;;;;;;;GHS09;;H410, EUH401;SP 1, P273, P280A, P391;;;;;;;;;;;;;;;;;;;;;;1;08.12.2017;;"""Gebruiksvoorschrift"",""52.7"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13275/W2/16de45ad-caf4-47df-4174-51b3361b9a44.pdf""|""Veiligheidsblad"",""311"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13275/W1/78a0627e-2d84-411d-92d7-326f6b19e0ad.pdf""";;;;;;;;
14184 W0;nl;Maxim 480 FS;Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/54bc27f4-f820-4f35-6c6a-697fdc90f3d5/1496904740076380165-1120x110_maxim480fs_logo_6_0.png;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/54bc27f4-f820-4f35-6c6a-697fdc90f3d5/1496754492947384917-Maxim%20480FS%20logo%20400x135.jpg;;;;;14184 N;"""480 G/L"",""fludioxonil""";;FS (Suspensie concentraat voor zaadbehandeling);;;;;;;;;GHS09;;H410, EUH208, EUH401;P391, SP 1, P280C, P273;;;;;;;;;;;;;;;;;;;;;;1;20.09.2013;;"""Gebruiksvoorschrift"",""9.95"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14184/W0/d3ee8140-2c69-494d-6944-c6a6e46a2d00.pdf""|""Veiligheidsblad"",""327"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14184/W1/d0e381fd-ba9d-4426-9049-eac2559fe818.pdf""";;;;;;;;
14184;nl;Maxim 480 FS (W1);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/54bc27f4-f820-4f35-6c6a-697fdc90f3d5/1496904740076380165-1120x110_maxim480fs_logo_6_0.png;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/54bc27f4-f820-4f35-6c6a-697fdc90f3d5/1496754492947384917-Maxim%20480FS%20logo%20400x135.jpg;;;;;14184 N;"""480 G/L"",""fludioxonil""";;FS (Suspensie concentraat voor zaadbehandeling);;;;;;;;;GHS09;;EUH208, EUH401, H410;SP 1, P273, P280C, P391;;;;;;;;;;;;;;;;;;;;;;1;01.02.2019;;"""Veiligheidsblad"",""327"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14184/W1/d0e381fd-ba9d-4426-9049-eac2559fe818.pdf""|""Gebruiksvoorschrift"",""61.4"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14184/W1/eb60236b-7999-47ed-baac-0c9d1c204302.pdf""";;;;;;;;
12302 W3;nl;Maxim XL (W3);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/2152bb6c-f6dd-41c3-488d-2fc9389c88d4/1496904768033879629-1120x110_maximxl_logo_6_0.png;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/2152bb6c-f6dd-41c3-488d-2fc9389c88d4/1496754540751271454-MaximXL%20logo%20400x135.jpg;;;;;12302 N;"""9,7 G/L"",""metalaxyl-M""|""25 G/L"",""fludioxonil""";;FS (Suspensie concentraat voor zaadbehandeling);;;01.07.2020;01.07.2019;;;;;GHS09;;EUH401, H411;SP 1, P391, P273;;;;;;;;;;;;;;;;;;;;;;1;09.05.2014;;"""Gebruiksvoorschrift"",""7.9"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12302/W3/ce76128d-a392-4093-6df4-b05e69502104.pdf""|""Veiligheidsblad"",""209.75"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12302/W3/788d910c-90bf-4be2-839f-a0e63288d983.pdf""";;;;;;;;
12302;nl;Maxim XL (W4);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/2152bb6c-f6dd-41c3-488d-2fc9389c88d4/1496904768033879629-1120x110_maximxl_logo_6_0.png;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/2152bb6c-f6dd-41c3-488d-2fc9389c88d4/1496754540751271454-MaximXL%20logo%20400x135.jpg;;;;;12302 N;"""9,7 G/L"",""metalaxyl-M""|""25 G/L"",""fludioxonil""";;FS (Suspensie concentraat voor zaadbehandeling);;;;;;;;;GHS09;;EUH401, H411;P391, SP 1, P273;;;;;;;;;;;;;;;;;;;;;;1;08.12.2017;;"""Veiligheidsblad"",""209.75"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12302/W3/788d910c-90bf-4be2-839f-a0e63288d983.pdf""|""Gebruiksvoorschrift"",""54"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12302/W4/8b7f4f06-b80d-4bc3-7cf6-f4223cbae4ca.pdf""";;;;;;;;
12063 W3;nl;Moddus 250 EC (W3);Groeiregulator;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/0ebb378f-98b9-423f-6038-d7d483987b9c/1496754569769392696-SYNGENCP-7001_MODDUS_250-EC.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/0ebb378f-98b9-423f-6038-d7d483987b9c/1496754573296780176-Moddus%20logo%20400x135.jpg;;;;;12063 N;"""250 G/L"",""trinexapac-ethyl""";;EC (Emulgeerbaar concentraat);;;01.07.2019;01.07.2018;;;;;GHS09, GHS07;;H411, H317, EUH066, EUH401;P391, P302 + P352, P261, SP 1, P280, P102;;;;;;;;;;;;;;;;;;;;;;1;11.05.2010;;"""Gebruiksvoorschrift"",""10.5"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12063/W3/beca45d3-b570-4044-7a7c-bad5ec709197.pdf""|""Veiligheidsblad"",""314.75"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12063/W4/0cbb435c-427f-4355-b288-24fa62fcb890.pdf""";;;;;;;;
12063;nl;Moddus 250 EC (W4);Groeiregulator;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/0ebb378f-98b9-423f-6038-d7d483987b9c/1496754569769392696-SYNGENCP-7001_MODDUS_250-EC.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/0ebb378f-98b9-423f-6038-d7d483987b9c/1496754573296780176-Moddus%20logo%20400x135.jpg;;;;;12063 N;"""250 G/L"",""trinexapac-ethyl""";;EC (Emulgeerbaar concentraat);;;;;;;;;GHS09, GHS07;;H411, H317, EUH401, EUH066;P261, P280, SP 1, P302 + P352, P391, P102;;;;;;;;;;;;;;;;;;;;;;1;01.01.2018;;"""Gebruiksvoorschrift"",""85.6"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12063/W4/caa5724b-a9b1-4f8d-4623-b0c66c920b73.pdf""|""Veiligheidsblad"",""314.75"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12063/W4/0cbb435c-427f-4355-b288-24fa62fcb890.pdf""";;;;;;;;
15629;nl;Moddus Evo;Groeiregulator;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/b3d5754b-c41e-44c5-627f-dd89940533cc/1536138694123544335-SYNGENCP-7001_MODDUS_EVO.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/b3d5754b-c41e-44c5-627f-dd89940533cc/1536138710822379468-Moddus%20Evo%20logo%20400x135.jpg;;;;;15629 N;"""250 G/L"",""trinexapac-ethyl""";;DC (Dispergeerbaar concentraat);;;;;;;;;GHS07;;H412, EUH401, H319;P264, P501, P273, P280, P337 + P313, P391, SP 1;;;;;;;;;;;;;;;;;;;;;;1;06.07.2018;;"""Veiligheidsblad"",""385.85"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/15629/W0/7551a44f-8ace-45d8-b29f-9f11c7976e5f.pdf""|""Gebruiksvoorschrift"",""54.65"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/15629/W0/72b4c3e6-2971-43f7-6b3c-62e864d1e2ce.pdf""";;;;;;;;
12417 W2;nl;Nemathorin 10G (W2);Nematicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/dc43116b-1ec4-4e8c-65d6-ccfa38079218/1496754598609542087-SYNGENCP-7001_NEMATHORIN_10G.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/dc43116b-1ec4-4e8c-65d6-ccfa38079218/1496754603077919848-Nemathorin%20logo%20400x135.jpg;;;;;12417 N;"""10 %"",""fosthiazaat""";;FG (Fijn granulaat);;;01.07.2019;01.07.2018;;;;;GHS09, GHS06;;EUH401, H410, H317, H301;SP 1, P273, P264, P302 + P352, P501, P333 + P313, P330, P280, P301 + P310;;;;;;;;;;;;;;;;;;;;;;1;05.01.2007;;"""Gebruiksvoorschrift"",""12.9"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12417/W2/0eb1283c-7a2a-4853-7c8b-466027c20f7b.pdf""|""Veiligheidsblad"",""301.15"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12417/W2/3b525239-3daa-49c5-8238-483a79df38d1.pdf""";;;;;;;;
12417;nl;Nemathorin 10G (W3);Nematicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/dc43116b-1ec4-4e8c-65d6-ccfa38079218/1496754598609542087-SYNGENCP-7001_NEMATHORIN_10G.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/dc43116b-1ec4-4e8c-65d6-ccfa38079218/1496754603077919848-Nemathorin%20logo%20400x135.jpg;;;;;12417 N;"""10 %"",""fosthiazaat""";;FG (Fijn granulaat);;;;;;;;;GHS09, GHS06;;H301, EUH401, H410, H317;P273, P264, P302 + P352, SP 1, P501, P301 + P310, P330, P280, P333 + P313;;;;;;;;;;;;;;;;;;;;;;1;01.01.2018;;"""Veiligheidsblad"",""301.15"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12417/W2/3b525239-3daa-49c5-8238-483a79df38d1.pdf""|""Gebruiksvoorschrift"",""56.7"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12417/W3/dd56ef88-48e7-4e85-a40a-8f9bff35c45c.pdf""";;;;;;;;
