id;language;title;field_product_cp_type;field_product_cp_category;body;field_product_cp_brand;field_product_cp_brand_thumb;field_product_cp_package_picture;field_link;field_product_cp_loyality;field_product_cp_status;field_product_cp_auth_number;field_product_cp_composition;field_product_cp_active_group;field_product_cp_formulation;field_product_cp_mode_action;field_product_cp_mode_detail;field_product_cp_end_date_growers;field_product_cp_end_date_disrtibutors;field_product_cp_pack_size;field_product_cp_nanum_number;field_product_cp_a_number_design;field_product_cp_security_icon;field_product_cp_legal_warning;field_product_cp_re_entry_period;field_product_cp_hazard_statements;field_product_cp_precautionary_s;field_product_cp_personal_equip;field_product_cp_other_restric;field_product_cp_tank_mixing;field_product_cp_tank_prepar;field_product_cp_particular_term;field_product_cp_mix_and_spray;field_product_cp_water_volume;field_product_cp_pressure;field_product_cp_rainfastness;field_product_cp_frost_sensitiv;field_product_cp_humidity_sensit;field_product_cp_light_sensit;field_product_cp_tank_lifespan;field_product_cp_tank_stability;field_product_cp_carry_over;field_product_cp_minor_use;field_product_cp_stewardship;field_product_cp_emergency;field_product_cp_section_title;field_product_cp_section_desc;field_product_cp_leg_information;field_product_cp_manual_date_ove;field_product_cp_last_update_dat;field_product_cp_pdf_file;external_field_product_cp_pdf;field_product_cp_registrant;field_product_cp_shelf_life;field_product_cp_class_of_danger;field_product_cp_danger_bees;field_product_cp_addl_flx;metatag_title;metatag_description;metatag_keywords
12852;nl;Cruiser 70 WS (W6);Insecticide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/924e4585-dfa3-4409-6e3e-3c9ee3a49c1f/1496753365205908345-SYNGENCP-7001_CRUISER-70WS.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/924e4585-dfa3-4409-6e3e-3c9ee3a49c1f/1496753370492522151-Cruiser%2070WS%20logo%20400x135.jpg;;;;;12852 N;"""70 %"",""thiamethoxam""";;WS (Water dispergeerbaar poeder voor vochtige zaadbehandeling);;;30.10.2020;30.10.2019;;;;;GHS09, GHS07, GHS02;;EUH401, H228, H302, H410;P240, P210, P102, P391, SP 1, P284, P270;;;;;;;;;;;;;;;;;;;;;;1;07.09.2018;;"""Veiligheidsblad"",""315.15"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12852/W6/300e07b9-c8ed-42af-a239-3e8ef26c31d8.pdf""|""Gebruiksvoorschrift"",""60.6"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12852/W6/d077974f-ddbf-4acc-634d-3f8618930a00.pdf""";;;;;;;;
7827 W10;nl;Daconil 500 Vloeibaar (W10);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/89e0c9f9-8e87-49ea-5eab-e416febd5443/1496753411846740332-SYNGENCP-7001_DACONIL.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/89e0c9f9-8e87-49ea-5eab-e416febd5443/1496753444546621246-Daconil%20500%20Vloeibaar%20logo%20400x135.jpg;;;;;7827 N;"""500 G/L"",""chloorthalonil""";;SC (Suspensie concentraat);;;01.07.2020;01.07.2019;;;;;GHS09, GHS07, GHS08;;H317, H335, EUH401, H351, H410, H332, H319;P284, SP 1, P308 + P313, P302 + P352, P391, P305 + P351 + P338, P280, P201, P102;;;;;;;;;;;;;;;;;;;;;;1;19.12.2012;;"""Gebruiksvoorschrift"",""53.7"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/7827/W10/9c0e2a95-79d9-4bf4-7440-6388a79e9537.pdf""|""Veiligheidsblad"",""347.65"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/7827/W11/5b582594-0f6d-4e37-9324-c067c7f32151.pdf""";;;;;;;;
7827;nl;Daconil 500 Vloeibaar (W11);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/89e0c9f9-8e87-49ea-5eab-e416febd5443/1496753411846740332-SYNGENCP-7001_DACONIL.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/89e0c9f9-8e87-49ea-5eab-e416febd5443/1496753444546621246-Daconil%20500%20Vloeibaar%20logo%20400x135.jpg;;;;;7827 N;"""500 G/L"",""chloorthalonil""";;SC (Suspensie concentraat);;;;;;;;;GHS07, GHS08, GHS09;;H332, H319, H351, EUH401, H410, H317, H335;P308 + P313, P391, P280, P305 + P351 + P338, P302 + P352, P102, P284, P201, SP 1;;;;;;;;;;;;;;;;;;;;;;1;04.05.2018;;"""Gebruiksvoorschrift"",""64.9"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/7827/W11/0c881674-efb2-4a0a-77c1-cc13e90b71b4.pdf""|""Veiligheidsblad"",""347.65"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/7827/W11/5b582594-0f6d-4e37-9324-c067c7f32151.pdf""";;;;;;;;
15095 W1;nl;Daiko (W1);Herbicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/f66063bf-4906-4d0f-6ff6-3fee606f3579/1496753456719983737-SYNGENCP-7001_DAIKO.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/f66063bf-4906-4d0f-6ff6-3fee606f3579/1496753473554539166-Daiko%20logo%20400x135.jpg;;;;;15095 N;"""800 G/L"",""prosulfocarb""|""10 G/L"",""clodinafop-propargyl""";;SC (Suspensie concentraat);;;07.06.2020;07.06.2019;;;;;GHS07, GHS09, GHS08;;EUH401, H410, H317, H319, H304;P391, SP 1, P331, P280C, P301 + P310, P273, P501;;;;;;;;;;;;;;;;;;;;;;1;31.03.2017;;"""Gebruiksvoorschrift"",""444.6"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/15095/W1/ad76af20-3b14-4792-65a4-8bbf63a10182.pdf""|""Veiligheidsblad"",""300.3"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/15095/W2/edc5a598-af0f-49bb-bfd1-36039208052d.pdf""";;;;;;;;
15095;nl;Daiko (W2);Herbicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/f66063bf-4906-4d0f-6ff6-3fee606f3579/1496753456719983737-SYNGENCP-7001_DAIKO.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/f66063bf-4906-4d0f-6ff6-3fee606f3579/1496753473554539166-Daiko%20logo%20400x135.jpg;;;;;15095 N;"""800 G/L"",""prosulfocarb""|""10 G/L"",""clodinafop-propargyl""";;SC (Suspensie concentraat);;;;;;;;;GHS07, GHS08, GHS09;;H304, H317, H410, H319, EUH401;P331, P391, P273, P501, SP 1, P280C, P301 + P310;;;;;;;;;;;;;;;;;;;;;;1;07.12.2018;;"""Veiligheidsblad"",""300.3"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/15095/W2/edc5a598-af0f-49bb-bfd1-36039208052d.pdf""|""Gebruiksvoorschrift"",""51.5"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/15095/W2/0ff0218f-9fe8-4bb0-966d-9413b93f3d3c.pdf""";;;;;;;;
12096;nl;Dual Gold 960 EC (W10);Herbicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/3529c601-a9b2-4aee-605f-599a00f9dfc2/1496753502399731253-SYNGENCP-7001_DUAL-GOLD_960-EC.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/3529c601-a9b2-4aee-605f-599a00f9dfc2/1496753508463117407-Dual%20Gold%20960%20EC%20logo%20400x135.jpg;;;;;12096 N;"""960 G/L"",""S-metolachloor""";;EC (Emulgeerbaar concentraat);;;;;;;;;GHS07, GHS09;;H410, EUH401, H319, H317;P363, P302 + P352, P337 + P313, SP 1, P102, P391, P280, P305 + P351 + P338;;;;;;;;;;;;;;;;;;;;;;1;28.09.2018;;"""Gebruiksvoorschrift"",""79"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12096/W10/5dd35e67-9bd0-46f2-6b43-76eca18fbbf9.pdf""|""Veiligheidsblad"",""359.6"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12096/W10/4892c477-f3a7-4083-ade8-6cd79144b440.pdf""";;;;;;;;
15483;nl;Elatus Era;Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/5c08fe41-18b4-4259-5611-5188aa0e874d/1519810422770519438-1120x110_Elatus%20Era_logo_1_0.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/5c08fe41-18b4-4259-5611-5188aa0e874d/1519810447768932040-Elatus%20Era%20logo%20400x135.jpg;;;;;15483 N;"""75 G/L"",""Benzovindiflupyr""|""150 G/L"",""prothioconazool""";;EC (Emulgeerbaar concentraat);;;;;;;;;GHS09, GHS05, GHS07, GHS08;;EUH401, H410, H318, H335, H317, H361d;P310, P261, P333 + P313, P501, P337 + P313, SP 1, P102, P391, P305 + P351 + P338, P280;;;;;;;;;;;;;;;;;;;;;;1;01.12.2017;;"""Gebruiksvoorschrift"",""62.35"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/15483/W0/7f7fc978-0077-4ff5-7c21-a018d5055007.pdf""|""Veiligheidsblad"",""409.65"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/15483/W0/3524cc5d-0261-46e9-ac95-5049b081fb19.pdf""";;;;;;;;
12994 W0;nl;Folio Gold;Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/6b43248f-520b-4ff3-4aa5-53270d69579c/1496753576301619794-SYNGENCP-7001_FOLIO-GOLD.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/6b43248f-520b-4ff3-4aa5-53270d69579c/1496753583984765320-Folio%20Gold%20logo%20400x135.jpg;;;;;12994 N;"""500 G/L"",""chloorthalonil""|""36,3 G/L"",""metalaxyl-M""";;SC (Suspensie concentraat);;;01.07.2020;01.07.2019;;;;;GHS08, GHS07, GHS09;;H319, EUH401, H315, H351, H317, H410, H335, H332;P501, SP 1, P305 + P351 + P338, P302 + P352, P391, P308 + P313, P102, P201, P280;;;;;;;;;;;;;;;;;;;;;;1;21.12.2007;;"""Gebruiksvoorschrift"",""11.7"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12994/W0/b4a095a7-2ddc-4083-6b8b-0516ef8e61a4.pdf""|""Veiligheidsblad"",""233.7"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12994/W1/1e2cb1d9-a3b2-43cd-b1fe-5b1ce7745bbe.pdf""";;;;;;;;
12994;nl;Folio Gold (W1);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/6b43248f-520b-4ff3-4aa5-53270d69579c/1496753576301619794-SYNGENCP-7001_FOLIO-GOLD.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/6b43248f-520b-4ff3-4aa5-53270d69579c/1496753583984765320-Folio%20Gold%20logo%20400x135.jpg;;;;;12994 N;"""36,3 G/L"",""metalaxyl-M""|""500 G/L"",""chloorthalonil""";;SC (Suspensie concentraat);;;;;;;;;GHS07, GHS08, GHS09;;H315, H319, H335, H317, EUH401, H410, H351, H332;P305 + P351 + P338, P501, P302 + P352, P280, P201, P308 + P313, P102, P391, SP 1;;;;;;;;;;;;;;;;;;;;;;1;01.01.2019;;"""Gebruiksvoorschrift"",""60.05"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12994/W1/f22e6fe7-a4e9-4e57-5e6e-8206f2b91ac6.pdf""|""Veiligheidsblad"",""233.7"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12994/W1/1e2cb1d9-a3b2-43cd-b1fe-5b1ce7745bbe.pdf""";;;;;;;;
13135 W1;nl;Force (W1);Insecticide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/87ddc97f-2fca-4344-616d-ebe02255c688/1496753598200172007-SYNGENCP-7001_FORCE_20CS.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/87ddc97f-2fca-4344-616d-ebe02255c688/1496753603688205058-Force%20logo%20400x135.jpg;;;;;13135 N;"""200 G/L"",""tefluthrin""";;FS (Suspensie concentraat voor zaadbehandeling);;;01.07.2019;01.07.2018;;;;;GHS09, GHS07;;EUH401, H317, H410, H332;P280, P391, P312, SP 1, P102, P302 + P352, P333 + P313, P304 + P340;;;;;;;;;;;;;;;;;;;;;;1;17.12.2008;;"""Veiligheidsblad"",""329.05"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13135/W2/5c6d019e-f819-4b13-9bea-e8f96651735c.pdf""|""Gebruiksvoorschrift"",""119.95"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13135/W1/51759ffa-9cde-432d-5da8-499a0fa68762.pdf""";;;;;;;;
